Actual,Predicted_60_RF,Predicted_60_OLS,Predicted_80_OLS,Predicted_80_RF
35750,26122.42,29139.97443,35142.34744,29446.42
5999,7357.56,5612.672682,4857.373336,6071.4
189800,335175.99,213014.126,188725.7712,328068.96
9499,16165.6,13426.53671,9174.839533,10637.64
25000,27717.42,32922.60808,26208.10735,30528.74
23830,23320.79,23797.26843,19136.92257,20706.85
13400,14398.24,16483.27561,18320.98326,16823.79
29851,32613.94,32441.22945,30728.61869,35314.45
15200,20776.67,18395.79892,13486.06026,13030.03
8990,13844.55,14333.18594,9569.757744,12642.33
29900,60086.25,35426.07452,23935.10285,31545.73
15244,14646.72,20787.53931,14900.40591,17086.7
15600,27285.57,27723.68176,17860.82904,17526.43
28995,18342.25,18484.78126,23451.82441,22893.41
42500,36338.23,34147.96792,37244.41739,35777.89
33136,27980,30161.92964,33967.88842,34319.63
12491,12854.1,14275.15402,10739.3052,12144.96
14030,15386.62,17930.95489,16088.39005,14717.96
13579,14778.25,12852.5866,11236.45563,12395.75
38980,32495.79,35408.11306,39756.21321,40993.4
28998,15964.44,18243.73761,26230.6141,24204.97
23889,30507.98,17777.47177,20801.30265,21230.38
14981,4723.43,1311.191639,10488.52581,14033.28
39495,38358.87,32645.63918,40430.91107,32431.14
13000,18550.8,21892.57738,12745.88709,14062.24
18999,10187.71,17158.30875,15082.92104,13809.5
22000,29879.95,22651.12228,22321.24263,20792.82
21900,37271.73,28090.44543,23073.02158,24547.51
25999,19646.3,19261.78581,27505.09734,28376.08
20994,24227.63,25347.71029,24318.00531,22669.11
17998,17962.46,17971.77756,19199.83152,17544.1
23598,25490.69,22982.7453,23630.96934,24225.45
11950,22389.67,25307.11596,11343.37564,16131.32
59980,40373.08,35983.53422,40068.43235,37606.39
10995,17561.91,18473.36531,15856.57576,16388.63
31999,11608.58,14308.11609,39311.84711,13401.49
13597,14670.02,20065.02074,16871.59621,13732.48
12491,12129.98,11077.20786,12042.05533,11784.98
20620,13445.1,14406.82189,17832.44484,15859.07
21697,19186.77,19808.37245,21254.84084,21123.04
27450,17978.86,23451.92375,30800.07919,21653.83
33999,27880.36,25871.28215,37057.06933,37537.89
22222,28577.91,24222.04609,23362.87735,22931.94
13423,12915.38,15751.62831,13130.34547,13603.02
15492,15409.41,18352.51559,22743.25085,15346.74
21999,21308.9,25529.17674,21209.36948,18778.6
29950,16415.86,17996.15544,17677.59138,16732.14
55995,39760.12,24871.60359,55622.3603,60370.58
22495,36291.73,32884.57998,22582.25336,23560.07
17493,15392.23,16718.39684,15977.83192,18686.28
12974,10107.61,10058.63911,12005.70166,10205.27
12950,17961.99,11278.04258,11902.48688,8086.43
24089,33715.11,29585.35914,24408.14253,25104.16
15995,19197.11,18506.30616,17935.17143,17757.06
29495,38157.4,34040.72447,30858.10271,31502.07
13500,25818.47,19765.39479,14597.22654,15168.14
29888,33633.95,31573.24791,27719.28294,27177.61
12995,16748.4,19204.35741,13105.8189,16915.98
15495,21119.36,22323.95402,15817.7828,16422.31
42762,35923.52,33392.16691,35390.10721,38475.63
16499,21642.96,19720.98932,16056.57957,15326.42
16900,21544.09,26166.14113,18103.24229,16973.91
45555,26779.92,33492.6456,43821.69503,48580.66
42900,34895.55,34032.55673,37406.1497,49744.38
7960,9471.24,6579.532352,7307.01436,11356.72
48388,25814.6,26269.86709,38577.51523,41936.12
9495,14868.78,22625.31641,29942.12606,12047.46
38980,50748.93,39783.1352,39265.0642,41439.92
31982,14367.84,17184.55368,29205.86509,30057.88
18995,16551.34,21927.57569,16981.12242,15843.73
12595,13062.72,9562.158879,8621.393266,10693.12
3910,11445.62,9410.682941,6681.009172,7649.66
12998,10567.68,10147.44742,13169.57312,10886.7
9658,7259.89,6100.949679,9495.787768,6408.14
29490,26437.47,28495.29066,35123.45204,35598.64
16376,17227.99,15283.98799,14420.94357,17111.12
9488,9839.6,5345.411755,6084.316995,5721.84
33990,18011.3,23230.67052,33909.23498,34012.1
17499,13591.41,12234.31975,15069.53102,13481.05
10793,13156.76,12592.12274,4491.384274,11788.18
10995,13753.66,17208.91234,15217.98199,13259.53
17991,26755.91,23088.99115,19970.81646,17968.72
17995,18586.27,17225.02882,17000.94801,18628.2
5995,10353.72,7916.697557,6348.059261,10689.17
13995,16996.22,15629.02812,12487.11425,14300.91
7695,10437.84,11186.43798,5607.519581,7783.3
20999,26123.1,28454.51685,25548.04147,26617.92
38990,42311.46,33583.00174,43135.13822,36612.71
23790,22293.5,26184.11242,21678.34245,22787.39
10988,10660.77,16124.63506,9456.857533,5122.94
16495,16019.38,18449.05137,15949.50514,15256.71
7950,8230.3,5226.500002,9365.130654,10554.47
12895,18520.06,25219.29147,14079.58188,17563.6
25888,24870.18,27541.62169,26702.91789,25690.39
14788,14868.68,20759.39984,14431.60655,12814.75
13988,11137.7,16350.62895,9228.872307,12743.52
23988,20133.56,25831.41971,27826.16943,25995.41
16957,17847.63,19692.07174,17294.98674,17486.12
33999,27264.9,29526.43954,30408.69211,27591.17
17987,27561.47,27767.50922,22454.59853,21181.98
21200,18521.82,20359.57536,21558.58367,21130.86
16995,22598.35,20050.81526,20409.97046,20189.35
33900,23694.43,23983.08772,35587.2377,31250.53
27389,26465.9,30274.64402,28071.58567,29215.95
16388,23200.2,20869.67465,19763.48605,17646.88
39995,24515.45,28024.23723,39222.30861,26782.55
24897,17112.09,19276.07019,23156.07552,19337.54
10995,11762.07,11056.9106,9382.933979,10945.17
8850,12964,6627.239143,5757.452129,11170.9
49995,29308.3,27050.33403,41270.5216,38528.73
16980,14453.76,18006.99555,18501.13171,18957.66
27439,30158.35,29854.42941,28814.72876,30263.74
20991,15580.74,17243.27128,20159.33691,16897.12
8995,5532.98,1991.218897,6294.85481,7280.39
31700,25200.94,26815.09883,34158.9739,30851.65
23991,20632.57,22660.52959,25899.54891,19060.47
20000,14478.68,17377.85591,21536.68754,16649.51
27491,31981.27,32466.24664,29826.62353,24398.93
23994,19295.12,22317.06491,24313.94684,22743.13
22000,20364.22,26233.27773,27299.74595,25452.08
37892,42074.94,38188.96932,38811.12956,35864.61
11989,14549.81,16338.4548,11177.41158,14776.76
32452,15160.35,20012.2694,33242.56425,32613.08
16500,17049.18,20834.95803,17841.33439,16546.38
17999,18195.56,23984.18381,12859.83406,13213.39
21995,23638.57,15254.21178,23085.25272,17560.96
8500,8096.91,6337.71472,5717.146534,5902.95
25895,34839.53,34577.12662,35815.14575,34587.99
44995,40461.23,37154.89514,38954.86828,41633.76
20199,17873.58,19099.71432,16226.92455,16397.83
24984,20542.89,21857.24381,22178.73971,18699.78
19995,24172.41,22582.08014,20890.4359,19816.56
34500,33208.34,31488.25026,31600.7504,34469.68
21995,21885.25,22399.56619,22269.4322,21648.88
15300,20653.22,23030.72251,16650.49773,15363.47
48200,26651.9,26991.66241,41247.76302,43096.37
15950,21022.45,22963.1519,16367.76693,15473.42
28588,23308.76,22618.11862,35694.77492,35654.65
37175,39720.79,27207.25365,34539.39752,32318.21
18995,25979.57,27098.30744,21221.80367,20281.71
10997,15975.12,14418.93134,8329.951819,13999.11
18500,21739.81,22792.63056,22821.26998,20566.49
8900,10609.58,20343.82004,15407.6604,14176.51
16947,19731.76,20530.81158,18522.66557,16637.38
25888,16868.8,17878.18903,25869.87135,26344.29
21787,22980.85,25847.16152,20652.37612,19155.88
8890,11934.24,14610.28292,10528.74188,12953.92
49991,45508.34,40517.62426,40693.87871,46112.1
28995,31381.64,26909.65072,31806.48598,27240.44
13400,11518.66,9341.00537,14245.64665,12066.94
11640,17264.21,18956.88752,11431.10801,14370.02
23982,22208.66,25186.9667,21393.96515,21901.21
14695,30924.45,21801.78112,16672.02897,16112.81
21975,25642.35,25970.50672,23554.40416,25977.61
50499,56002.05,39366.49853,53588.49489,52061.84
31731,21458.16,24090.04612,31324.4798,27052.68
24000,24670.71,26498.34973,22666.0281,20549.13
17600,20141.88,20188.73961,19340.78558,17138.99
13800,12270.34,9100.309467,14714.57361,12065.73
11800,14186.83,13831.89084,9798.674685,13531.21
21963,19382.55,19797.50398,23988.0399,16860.62
9324,11868.89,8089.9579,12905.69348,10866.06
21800,19149.48,21465.42469,21702.28682,21843.43
25981,18906.08,25612.85569,27237.5297,23358.44
11495,20451.2,16472.5809,13560.25012,11797.68
29300,28829.31,17240.60016,30607.35311,31000.75
15499,17547.16,19283.05235,20889.10176,24301.07
20999,20492.52,24215.56245,21097.30868,19755.04
25897,17794.75,24136.3414,23969.30857,21481.1
35799,44322.57,32850.44052,36915.08825,39776.13
19995,17343.2,18641.03356,21522.5748,18815.82
25493,23441.98,24237.4222,27260.9447,24002.25
11998,11083.88,7231.229255,12650.83665,13255.79
20200,25888.64,26473.42057,21081.59469,19353.11
16955,25328.3,23806.08938,17522.07425,19834.56
29995,34585.66,30177.08006,26505.66196,28925.96
3396,8374.63,3668.290388,866.1819281,5508.72
13995,16150.33,18545.38012,14934.97919,14254.05
12750,12985.02,16225.35112,14427.40528,13200.52
26475,23415.8,22623.70684,26319.57142,27175.72
15979,16152.72,14914.82299,12857.27138,13785.17
22999,18611.08,21698.74317,22543.4946,21170.02
11095,16121.58,16218.74165,9762.972764,11481.09
14988,17016,21928.29245,15625.51455,15338.56
19888,25222.91,23580.62019,22441.89482,20068.38
14617,18482.87,18216.92689,15561.18191,15379.74
15395,9467.24,9561.188338,12185.79633,9778.39
22961,25197.99,22232.26423,22539.42893,22063.48
25917,20125.96,20763.82233,23002.1431,22567.71
6578,13365.6,9345.0826,6684.783726,10107.79
13985,13607.05,12466.54579,12876.0104,12962.38
25790,16731.87,11525.47756,9448.6396,7324.42
26691,20506.75,22966.8049,24149.71503,23574.5
13987,20383.37,22806.6966,16439.09994,14530.19
18789,24508.52,24742.9009,21598.52377,21628.42
15706,19852.95,23015.08891,17664.35837,17406.67
3495,8651.3,-544.9970664,-8624.582088,3587.57
5475,6131.79,7286.292316,5999.612611,10246.84
27988,21970.3,22768.74957,28519.30792,27136.52
14592,15936.19,23028.92322,20080.52328,17175.46
11250,9932.35,12107.92851,9422.505045,11370.61
36266,19939.86,22620.66429,34797.24658,36802.18
10000,12054.92,18652.3144,11093.71062,12261
24363,18245.15,21988.62019,25015.32586,22151.93
12998,16813.05,21827.99381,12976.00149,12675.16
10985,17599.79,21423.4685,12286.97294,12794.59
15000,14169.94,21986.27882,19747.74739,16466.32
17699,17445.78,14639.19601,19619.01101,16705.85
14875,21466.66,18752.8748,16775.2931,15645.24
15335,15921.5,17369.04188,22604.35219,12539.28
17972,27276.03,20132.42054,21264.46119,18497.4
14755,15887.87,17511.75271,11216.49377,13074.08
17830,23928.97,16628.20323,23501.98584,15190
22294,27238.23,24690.76854,19475.1507,19592.01
19997,24374.39,27102.22213,24028.47251,20284.53
24984,29719.92,24909.50384,24285.68616,19671.72
15977,17412.96,22243.49436,20203.502,16208.27
12983,16887.83,21925.02596,14791.14025,13678.08
9999,13103.76,8382.488023,9773.150848,10937.08
23395,35092.3,27827.23508,24444.3273,26059.57
20990,14021.45,13913.88933,22499.11218,22854.33
21988,29217.27,29904.39268,24097.75005,29306.39
22995,20524.27,23005.26393,24076.16294,21230.54
21695,24435.94,26781.05599,27359.3486,25294.79
18998,27056.39,23599.32016,19920.79653,18718.9
12888,15873.4,14564.44708,8313.641681,12590.02
19000,16402.03,19986.93895,22308.41457,22902.19
16336,15430.58,17685.18528,14905.62215,15292.01
28980,17394.05,19410.68571,26749.19079,18012.87
5700,7266.19,6262.87768,3552.179993,6835.99
29660,31830.85,33093.64232,33349.706,33860.61
34000,23360.55,26940.74506,32150.20158,33647.58
23500,20819.92,18674.5328,24838.64309,21222.49
27888,27509.81,26065.44339,26778.42985,22856.92
14000,15678.1,9609.463421,15254.27068,13142.9
12140,18498.28,17907.24671,12614.98477,12759.45
47230,48525.42,32459.09766,43458.32554,51207.65
9295,13275.99,9577.874131,3430.229493,12219.76
19495,17617.69,18026.75008,18139.37859,17744.08
13388,14085.4,15702.87649,16018.0629,15580.07
35651,21096.1,24146.1222,33950.88062,31282.87
14000,15144.85,13123.57627,15321.52823,15512.85
15545,19514.28,19808.75893,16629.45085,15178.12
15977,18770.09,19354.36818,16277.10848,16630.68
11950,9044.31,6408.158803,8550.671536,8889.25
9998,10492.17,18036.27301,11781.14426,9553.03
32496,13774.03,14573.15955,31516.14567,30349.12
28995,22361.81,26820.32857,28468.23035,26328.03
14900,10066.38,9046.24756,19052.76933,13632.37
12238,16752.82,17476.85765,14379.4327,12559.12
14688,14920.37,17712.17731,13298.83139,13612.91
25400,21797.95,22769.66315,25831.68628,24718.86
24998,23241.24,21045.00956,22007.33254,21896.09
35900,32166.94,29479.28916,33748.12718,31927.78
13600,12502.36,17056.00052,14492.27108,12923.04
5933,7088.03,7762.64243,179.3691398,7492.9
38598,25207.93,23136.51073,40533.51107,19860.82
31194,17415.64,22237.30452,29464.84925,30657.19
9997,18913.61,16371.0367,9951.291082,11369.44
